"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 13:21:26 GMT 2025","Mon May 12 13:21:26 GMT 2025","40","tests","test_users_api","TestUsersAPI","","","test_get_all_users","Test getting all users returns 200 and proper data structure"
"passed","Mon May 12 13:21:26 GMT 2025","Mon May 12 13:21:27 GMT 2025","273","tests","test_users_api","TestUsersAPI","","","test_user_company_info","Test that user company info has the correct structure"
"passed","Mon May 12 13:21:26 GMT 2025","Mon May 12 13:21:26 GMT 2025","42","tests","test_users_api","TestUsersAPI","","","test_get_user_by_id","Test getting a specific user by ID"
"passed","Mon May 12 13:21:26 GMT 2025","Mon May 12 13:21:26 GMT 2025","283","tests","test_posts_api","TestPostsAPI","","","test_update_post","Test updating an existing post"
"passed","Mon May 12 13:21:25 GMT 2025","Mon May 12 13:21:25 GMT 2025","248","tests","test_posts_api","TestPostsAPI","","","test_get_post_by_id","Test getting a specific post by ID"
"passed","Mon May 12 13:21:25 GMT 2025","Mon May 12 13:21:26 GMT 2025","276","tests","test_posts_api","TestPostsAPI","","","test_create_post","Test creating a new post"
"failed","Mon May 12 13:21:26 GMT 2025","Mon May 12 13:21:26 GMT 2025","108","tests","test_posts_api","TestPostsAPI","","","test_delete_post","Test deleting a post"
"passed","Mon May 12 13:21:27 GMT 2025","Mon May 12 13:21:27 GMT 2025","37","tests","test_users_api","TestUsersAPI","","","test_user_address","Test that user address has the correct structure"
"passed","Mon May 12 13:21:25 GMT 2025","Mon May 12 13:21:25 GMT 2025","69","tests","test_posts_api","TestPostsAPI","","","test_get_all_posts","Test getting all posts returns 200 and proper data structure"
